ANIO_DENUNCIA,ANIO_ENTRADA,ANIO_HECHO,CAPTURA,CONDENA,DELITO,DEPARTAMENTO,ESTADO_NOTICIA,ETAPA,GRUPO_DELITO,GRUPO_EDAD_VICTIMA,HECHO,HOMICIDIO_DOLOSO_CONSUMADO,IMPUTACION,LEY,MUNICIPIO,HABITANTES,PREDOMINANCIA,PAIS_NACIMIENTO,SEXO_VICTIMA,TOTAL_VICTIMAS
2015,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,EJECUCIÓN DE PENAS,FEMINICIDIO,JUVENTUD 18 - 28,SI,SI,NO,Ley 906,BUENAVENTURA,440995,URBANO,Colombia,FEMENINO,1
2015,2015,2015,SI,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,ACTIVO,JUICIO,FEMINICIDIO,ADOLESCENTE 14 - 17,SI,NO,SI,Ley 906,BOGOTÁ, D.C.,8380801,URBANO,Colombia,FEMENINO,1
2015,2015,2015,SI,SI,FEMINICIDIO ART. 104A C.P.,Cauca,INACTIVO,EJECUCIÓN DE PENAS,FEMINICIDIO,SIN DATO,SI,NO,SI,Ley 906,POPAYÁN,288636,URBANO,Colombia,FEMENINO,1
2015,2015,2015,SI,SI,FEMINICIDIO ART. 104A C.P.,Cesar,INACTIVO,EJECUCIÓN DE PENAS,FEMINICIDIO,SIN DATO,SI,SI,SI,Ley 906,CURUMANÍ,22673,URBANO,Colombia,FEMENINO,1
2015,2015,2015,SI,SI,FEMINICIDIO ART. 104A C.P.,La Guajira,INACTIVO,EJECUCIÓN DE PENAS,FEMINICIDIO,ADOLESCENTE 14 - 17,SI,NO,SI,Ley 906,URUMITA,20035,RURAL,Colombia,FEMENINO,1
2015,2015,2015,SI,SI,FEMINICIDIO ART. 104A C.P.,Magdalena,INACTIVO,EJECUCIÓN DE PENAS,FEMINICIDIO,SIN DATO,SI,SI,SI,Ley 906,SANTA MARTA,524031,URBANO,Colombia,FEMENINO,1
2015,2015,2015,SI,SI,FEMINICIDIO ART. 104A C.P. AGRAVADO POR VICTIMA MENOR DE 18 AÑOS, MAYOR DE 60 O EMBARAZO. ART. 104B L.B,Atlántico,ACTIVO,INVESTIGACIÓN,FEMINICIDIO,ADULTO MAYOR DE 60,SI,SI,SI,Ley 906,SOLEDAD,700970,URBANO,Colombia,FEMENINO,1
2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,INACTIVO,INDAGACIÓN,FEMINICIDIO,ADULTEZ 29 - 59,NO,NO,NO,Ley 906,BOGOTÁ, D.C.,8380801,URBANO,Colombia,FEMENINO,1
2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,INACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,NO,NO,NO,Ley 906,BOGOTÁ, D.C.,8380801,URBANO,Colombia,FEMENINO,1
2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Boyaca,INACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,NO,NO,NO,Ley 906,TUNJA,206791,URBANO,Colombia,FEMENINO,1
